INFO:root:Entering main...
INFO:root:Logged cmd arguments
INFO:root:(1585223776.6288922)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223776.6298914)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223776.6308913)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223777.1284404)	[SERVER@localhost:5556]: published update
INFO:root:(1585223777.1294444)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223777.1304476)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223777.1314433)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223777.1324434)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223777.1324434)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223777.133443)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223777.6355917)	[SERVER@localhost:5556]: published update
INFO:root:(1585223777.6365924)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223777.6375918)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223777.6385922)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223777.640593)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223777.641593)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223777.6435955)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223778.1431053)	[SERVER@localhost:5556]: published update
INFO:root:(1585223778.144107)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223778.1451073)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223778.1461067)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223778.1481073)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223778.1491072)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223778.1511068)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223778.648856)	[SERVER@localhost:5556]: published update
INFO:root:(1585223778.6498594)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223778.650863)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223778.6518583)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223778.6528592)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223778.6528592)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223778.6538575)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223779.154201)	[SERVER@localhost:5556]: published update
INFO:root:(1585223779.155204)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223779.1562083)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223779.1582053)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223779.1582053)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223779.1592054)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223779.1602056)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223779.6583326)	[SERVER@localhost:5556]: published update
INFO:root:(1585223779.6603365)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223779.6613376)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223779.662335)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223779.663337)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223779.663337)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223779.6643357)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223780.1652305)	[SERVER@localhost:5556]: published update
INFO:root:(1585223780.1672313)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223780.1682303)	[CLIENT@localhost:5559]: received update from localhost:5556
