1585657854.550306	IN	32766	32767	2	
1585657854.5603082	IN	35891	35892	2	
1585657854.5603082	IN	32766	32767	4	
1585657854.7223487	IN	29641	29642	3	
1585657854.7223487	IN	35891	35892	9	
1585657854.7223487	IN	29641	35892	5	
1585657854.7223487	IN	29639	35889	1	
1585657854.7223487	IN	32766	32767	11	
1585657854.7223487	IN	32767	32768	5	
1585657854.7223487	IN	35891	29642	7	
1585657854.7223487	IN	39016	39017	1	
1585657855.046433	IN	35891	35892	1	
1585657855.046433	IN	32766	32767	3	
1585657855.0534344	IN	35891	35892	3	
1585657855.0534344	IN	35891	29642	1	
1585657855.0534344	IN	32766	32767	5	
1585657855.2214756	IN	29641	29642	4	
1585657855.2214756	IN	35891	35892	10	
1585657855.2214756	IN	29641	35892	6	
1585657855.2214756	IN	32717	32743	1	
1585657855.2214756	IN	29639	35889	2	
1585657855.2214756	IN	32766	32767	12	
1585657855.2214756	IN	32767	32768	6	
1585657855.2214756	IN	35891	29642	8	
1585657855.2214756	IN	39016	39017	2	
1585657855.3645115	OUT	32763	32765	1	10
1585657855.3645115	OUT	32765	32764	1	10
1585657855.3645115	OUT	32763	32767	1	10
1585657855.3645115	OUT	32763	32768	1	10
1585657855.3645115	OUT	32766	32764	1	10
1585657855.3645115	OUT	32768	32768	1	10
1585657855.3645115	OUT	32768	32765	1	10
1585657855.3645115	OUT	32765	32769	1	10
1585657855.3645115	OUT	32768	32767	1	10
1585657855.3645115	OUT	32766	32769	1	10
1585657855.5418148	IN	35891	35892	4	
1585657855.5418148	IN	35891	29642	2	
1585657855.5418148	IN	32766	32767	6	
1585657855.5458167	IN	35891	35892	2	
1585657855.5458167	IN	32766	32767	4	
1585657855.7055817	IN	35891	35892	11	
1585657855.7055817	IN	29641	35892	7	
1585657855.7055817	IN	29639	35889	3	
1585657855.7055817	IN	32766	32767	13	
1585657855.7055817	IN	35891	29642	9	
1585657855.7055817	IN	35889	29645	1	
1585657855.7055817	IN	39016	26517	1	
1585657855.7055817	IN	29641	29642	5	
1585657855.7055817	IN	39016	39017	3	
1585657855.8695326	OUT	32763	32765	2	11
1585657855.8695326	OUT	32772	32764	1	11
1585657855.8695326	OUT	32765	32764	2	11
1585657855.8695326	OUT	32763	32767	2	11
1585657855.8695326	OUT	32766	32769	2	11
1585657855.8695326	OUT	32766	32764	2	11
1585657855.8695326	OUT	32765	32769	2	11
1585657855.8695326	OUT	32763	32768	2	11
1585657855.8695326	OUT	32768	32768	2	11
1585657855.8695326	OUT	32768	32767	2	11
1585657855.8695326	OUT	32768	32765	2	11
1585657856.0435226	IN	32767	32768	1	
1585657856.0435226	IN	35891	35892	5	
1585657856.0435226	IN	35891	29642	3	
1585657856.0435226	IN	29641	35892	1	
1585657856.0435226	IN	32766	32767	7	
1585657856.049525	IN	35891	35892	3	
1585657856.049525	IN	35891	29642	1	
1585657856.049525	IN	32766	32767	5	
1585657856.2085793	IN	35891	35892	12	
1585657856.2085793	IN	29641	35892	8	
1585657856.2085793	IN	32766	32767	14	
1585657856.2085793	IN	35891	29642	10	
1585657856.2085793	IN	35889	29645	2	
1585657856.2085793	IN	39016	26517	2	
1585657856.2085793	IN	29641	29642	6	
1585657856.2085793	IN	39016	39017	4	
1585657856.3714404	OUT	32766	32767	1	1
1585657856.5489728	IN	32767	32768	2	
1585657856.5489728	IN	35891	35892	6	
1585657856.5489728	IN	35891	29642	4	
1585657856.5489728	IN	29641	35892	2	
1585657856.5489728	IN	32766	32767	8	
1585657856.5529726	IN	35891	35892	4	
1585657856.5529726	IN	35891	29642	2	
1585657856.5529726	IN	32766	32767	6	
1585657856.7126033	IN	29641	29642	7	
1585657856.7126033	IN	35891	35892	13	
1585657856.7126033	IN	26516	39017	1	
1585657856.7126033	IN	29641	35892	9	
1585657856.7126033	IN	29639	35889	4	
1585657856.7126033	IN	32766	32767	15	
1585657856.7126033	IN	39018	26520	1	
1585657856.7126033	IN	32767	32768	7	
1585657856.7126033	IN	35889	29645	3	
1585657856.7126033	IN	39016	26517	3	
1585657856.7126033	IN	35891	29642	11	
1585657856.7126033	IN	39016	39017	5	
1585657856.876645	OUT	32766	32767	2	1
1585657857.0520713	IN	29641	29642	1	
1585657857.0520713	IN	35891	35892	7	
1585657857.0520713	IN	29641	35892	3	
1585657857.0520713	IN	32766	32767	9	
1585657857.0520713	IN	32767	32768	3	
1585657857.0520713	IN	35891	29642	5	
