1585637720.0491447	OUT	32763	32765	1	10
1585637720.0491447	OUT	32765	32764	1	10
1585637720.0491447	OUT	32763	32767	1	10
1585637720.0491447	OUT	32763	32768	1	10
1585637720.0491447	OUT	32766	32764	1	10
1585637720.0491447	OUT	32768	32768	1	10
1585637720.0491447	OUT	32768	32765	1	10
1585637720.0491447	OUT	32765	32769	1	10
1585637720.0491447	OUT	32768	32767	1	10
1585637720.0491447	OUT	32766	32769	1	10
1585637720.0511458	IN	32763	32765	1	
1585637720.0511458	IN	32765	32764	1	
1585637720.0511458	IN	32763	32767	1	
1585637720.0511458	IN	32763	32768	1	
1585637720.0511458	IN	32766	32764	1	
1585637720.0511458	IN	32768	32768	1	
1585637720.0511458	IN	32768	32765	1	
1585637720.0511458	IN	32765	32769	1	
1585637720.0511458	IN	32768	32767	1	
1585637720.0511458	IN	32766	32769	1	
1585637720.0511458	IN	32763	32765	1	
1585637720.0511458	IN	32765	32764	1	
1585637720.0511458	IN	32763	32767	1	
1585637720.0511458	IN	32763	32768	1	
1585637720.0511458	IN	32766	32764	1	
1585637720.0511458	IN	32768	32768	1	
1585637720.0511458	IN	32768	32765	1	
1585637720.0511458	IN	32765	32769	1	
1585637720.0511458	IN	32768	32767	1	
1585637720.0511458	IN	32766	32769	1	
1585637720.0521464	IN	32763	32765	1	
1585637720.0521464	IN	32765	32764	1	
1585637720.0521464	IN	32763	32767	1	
1585637720.0521464	IN	32763	32768	1	
1585637720.0521464	IN	32766	32764	1	
1585637720.0521464	IN	32768	32768	1	
1585637720.0521464	IN	32768	32765	1	
1585637720.0521464	IN	32765	32769	1	
1585637720.0521464	IN	32768	32767	1	
1585637720.0521464	IN	32766	32769	1	
1585637720.5528312	OUT	32763	32765	2	11
1585637720.5528312	OUT	32772	32764	1	11
1585637720.5528312	OUT	32765	32764	2	11
1585637720.5528312	OUT	32763	32767	2	11
1585637720.5528312	OUT	32766	32769	2	11
1585637720.5528312	OUT	32766	32764	2	11
1585637720.5528312	OUT	32765	32769	2	11
1585637720.5528312	OUT	32763	32768	2	11
1585637720.5528312	OUT	32768	32768	2	11
1585637720.5528312	OUT	32768	32767	2	11
1585637720.5528312	OUT	32768	32765	2	11
1585637720.554831	IN	32763	32765	2	
1585637720.554831	IN	32772	32764	1	
1585637720.554831	IN	32765	32764	2	
1585637720.554831	IN	32763	32767	2	
1585637720.554831	IN	32766	32769	2	
1585637720.554831	IN	32766	32764	2	
1585637720.554831	IN	32765	32769	2	
1585637720.554831	IN	32763	32768	2	
1585637720.554831	IN	32768	32768	2	
1585637720.554831	IN	32768	32767	2	
1585637720.554831	IN	32768	32765	2	
1585637720.5558321	IN	32763	32765	2	
1585637720.5558321	IN	32772	32764	1	
1585637720.5558321	IN	32765	32764	2	
1585637720.5558321	IN	32763	32767	2	
1585637720.5558321	IN	32766	32769	2	
1585637720.5558321	IN	32766	32764	2	
1585637720.5558321	IN	32765	32769	2	
1585637720.5558321	IN	32763	32768	2	
1585637720.5558321	IN	32768	32768	2	
1585637720.5558321	IN	32768	32767	2	
1585637720.5558321	IN	32768	32765	2	
1585637720.5568328	IN	32763	32765	2	
1585637720.5568328	IN	32772	32764	1	
1585637720.5568328	IN	32765	32764	2	
1585637720.5568328	IN	32763	32767	2	
1585637720.5568328	IN	32766	32769	2	
1585637720.5568328	IN	32766	32764	2	
1585637720.5568328	IN	32765	32769	2	
1585637720.5568328	IN	32763	32768	2	
1585637720.5568328	IN	32768	32768	2	
1585637720.5568328	IN	32768	32767	2	
1585637720.5568328	IN	32768	32765	2	
1585637721.0560157	OUT	32766	32767	1	1
1585637721.0590143	IN	32766	32767	1	
1585637721.060014	IN	32766	32767	1	
1585637721.0620148	IN	32766	32767	1	
1585637721.5639098	OUT	32766	32767	2	1
1585637721.5659094	IN	32766	32767	2	
1585637721.569911	IN	32766	32767	2	
1585637721.5739126	IN	32766	32767	2	
1585637722.0685031	OUT	35891	35892	1	2
1585637722.0685031	OUT	32766	32767	3	2
